时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:18:43.142,600173_1d_1761409123142,600173,1d,[2408:8706:0:e400:1:c10:a56:ae4],7709,光大,success,,15,0.287,7,2,Phase1
2025-10-26 00:18:44.118,600180_5m_1761409124118,600180,5m,123.125.108.101,7709,银河,success,,5,1.263,7,17,Phase1
2025-10-26 00:18:44.444,600184_1d_1761409124444,600184,1d,182.118.47.153,7709,东兴,success,,15,1.589,7,25,Phase1
2025-10-26 00:18:44.456,600193_1d_1761409124456,600193,1d,202.108.254.67,7709,中信,success,,15,1.601,7,49,Phase1
2025-10-26 00:18:44.460,600172_1m_1761409124460,600172,1m,[2408:8721:0820:0106:0001:0C06:0A5A:11E1],7709,国金,success,,800,1.605,7,0,Phase1
2025-10-26 00:18:44.472,600182_1m_1761409124472,600182,1m,114.141.191.87,7709,光大,success,,800,1.617,7,21,Phase1
2025-10-26 00:18:44.475,600179_1m_1761409124475,600179,1m,117.149.2.70,7709,中信,success,,800,1.620,7,15,Phase1
2025-10-26 00:18:44.480,600180_1d_1761409124480,600180,1d,116.128.210.179,7709,国盛,success,,15,1.625,7,16,Phase1
2025-10-26 00:18:44.484,600183_1m_1761409124484,600183,1m,121.37.169.248,7709,申万宏源,success,,800,1.629,7,24,Phase1
2025-10-26 00:18:44.487,600179_5m_1761409124487,600179,5m,60.191.33.105,7709,财通,success,,5,1.632,7,14,Phase1
2025-10-26 00:18:44.491,600195_1m_1761409124491,600195,1m,123.125.108.110,7709,国金,success,,800,1.636,7,54,Phase1
2025-10-26 00:18:44.494,600186_1m_1761409124495,600186,1m,182.118.47.188,7709,国投,success,,800,1.639,7,33,Phase1
2025-10-26 00:18:44.498,600187_5m_1761409124498,600187,5m,120.199.2.123,7709,中信,success,,5,1.643,7,35,Phase1
2025-10-26 00:18:44.510,600182_5m_1761409124510,600182,5m,115.28.252.213,7709,光大,success,,5,1.655,7,20,Phase1
2025-10-26 00:18:44.513,600185_1m_1761409124513,600185,1m,123.125.108.60,7709,东兴,success,,800,1.658,7,30,Phase1
2025-10-26 00:18:44.534,600178_5m_1761409124534,600178,5m,120.210.144.2,7709,国元,success,,5,1.679,7,11,Phase1
2025-10-26 00:18:44.538,600193_5m_1761409124538,600193,5m,125.46.36.131,7709,中原,success,,5,1.683,7,50,Phase1
2025-10-26 00:18:44.550,600182_1d_1761409124550,600182,1d,124.232.148.154,7709,华林,success,,15,1.695,7,19,Phase1
2025-10-26 00:18:44.563,600197_1d_1761409124563,600197,1d,182.118.47.183,7709,中信建投,success,,15,1.708,7,58,Phase1
2025-10-26 00:18:44.567,600176_5m_1761409124567,600176,5m,103.251.85.196,7709,中泰,success,,5,1.712,7,5,Phase1
2025-10-26 00:18:44.570,600186_5m_1761409124570,600186,5m,110.53.177.135,7709,方正,success,,5,1.715,7,32,Phase1
2025-10-26 00:18:44.574,600203_1d_1761409124574,600203,1d,114.28.171.10,7709,国元,success,,15,1.719,7,76,Phase1
2025-10-26 00:18:44.577,600196_1d_1761409124577,600196,1d,101.230.78.51,7709,东北,success,,15,1.722,7,55,Phase1
2025-10-26 00:18:44.581,600198_1d_1761409124581,600198,1d,114.28.173.135,7709,国泰,success,,15,1.726,7,61,Phase1
2025-10-26 00:18:44.585,600197_5m_1761409124585,600197,5m,175.6.30.71,7709,方正,success,,5,1.730,7,59,Phase1
2025-10-26 00:18:44.587,600195_5m_1761409124587,600195,5m,125.46.62.167,7709,中原,success,,5,1.732,7,53,Phase1
2025-10-26 00:18:44.591,600202_5m_1761409124591,600202,5m,221.204.31.37,7709,山西,success,,5,1.736,7,74,Phase1
2025-10-26 00:18:44.594,600177_1d_1761409124594,600177,1d,119.97.142.136,7709,长江,success,,15,1.739,7,7,Phase1
2025-10-26 00:18:44.602,600212_1d_1761409124602,600212,1d,114.141.191.77,7709,光大,success,,15,1.746,7,94,Phase1
2025-10-26 00:18:44.604,600207_5m_1761409124604,600207,5m,47.100.132.162,7709,招商,success,,5,1.749,7,83,Phase1
2025-10-26 00:18:44.606,600186_1d_1761409124606,600186,1d,115.159.68.13,7709,红塔,success,,15,1.751,7,31,Phase1
2025-10-26 00:18:44.608,600191_5m_1761409124609,600191,5m,117.34.114.27,7709,国泰君安,success,,5,1.753,7,44,Phase1
2025-10-26 00:18:44.611,600192_5m_1761409124611,600192,5m,183.201.253.75,7709,中信建投,success,,5,1.756,7,47,Phase1
2025-10-26 00:18:44.613,600183_5m_1761409124613,600183,5m,111.23.148.7,7709,方正,success,,5,1.758,7,23,Phase1
2025-10-26 00:18:44.616,600187_1m_1761409124616,600187,1m,140.143.99.36,7709,红塔,success,,800,1.761,7,36,Phase1
2025-10-26 00:18:44.618,600208_1d_1761409124618,600208,1d,139.196.1.132,7709,第一创业,success,,15,1.762,7,85,Phase1
2025-10-26 00:18:44.621,600203_1m_1761409124621,600203,1m,112.51.30.203,7709,兴业,success,,800,1.766,7,78,Phase1
2025-10-26 00:18:44.629,600211_1m_1761409124629,600211,1m,111.203.134.118,7709,银河,success,,800,1.773,7,93,Phase1
2025-10-26 00:18:44.632,600192_1d_1761409124632,600192,1d,114.28.173.134,7709,国泰,success,,15,1.777,7,46,Phase1
2025-10-26 00:18:44.637,600197_1m_1761409124637,600197,1m,[240e:688:200:4200:192:168:166:12],7709,东方,success,,800,1.782,7,60,Phase1
2025-10-26 00:18:44.641,600215_1d_1761409124641,600215,1d,117.139.166.94,7709,华西,success,,15,1.785,7,97,Phase1
2025-10-26 00:18:44.651,600178_1m_1761409124651,600178,1m,218.6.198.164,7709,华西,success,,800,1.796,7,12,Phase1
2025-10-26 00:18:44.653,600185_1d_1761409124653,600185,1d,182.140.239.184,7709,华西,success,,15,1.798,7,28,Phase1
2025-10-26 00:18:44.656,600208_1m_1761409124656,600208,1m,183.201.231.88,7709,国信,success,,800,1.800,7,87,Phase1
2025-10-26 00:18:44.660,600191_1d_1761409124660,600191,1d,117.184.126.164,7709,中银,success,,15,1.805,7,43,Phase1
2025-10-26 00:18:44.663,600206_1m_1761409124663,600206,1m,220.203.237.3,7709,东兴,success,,800,1.808,7,81,Phase1
2025-10-26 00:18:44.668,600200_5m_1761409124668,600200,5m,61.143.3.209,7709,华林,success,,5,1.813,7,68,Phase1
2025-10-26 00:18:44.670,600184_1m_1761409124670,600184,1m,117.175.57.162,7709,中泰,success,,800,1.815,7,27,Phase1
2025-10-26 00:18:44.675,600177_5m_1761409124675,600177,5m,[2408:8721:820:106:1:c06:a5a:11e0],7709,光大,success,,5,1.820,7,8,Phase1
2025-10-26 00:18:44.678,600176_1d_1761409124678,600176,1d,182.131.3.237,7709,申万宏源,success,,15,1.823,7,4,Phase1
2025-10-26 00:18:44.683,600211_1d_1761409124683,600211,1d,183.134.208.103,7709,浙商,success,,15,1.827,7,91,Phase1
2025-10-26 00:18:44.685,600206_5m_1761409124685,600206,5m,222.172.150.171,7709,太平洋,success,,5,1.830,7,80,Phase1
2025-10-26 00:18:44.689,600178_1d_1761409124689,600178,1d,58.63.254.247,7709,国信,success,,15,1.834,7,10,Phase1
2025-10-26 00:18:44.693,600195_1d_1761409124693,600195,1d,218.104.185.71,7709,长城,success,,15,1.838,7,52,Phase1
2025-10-26 00:18:44.697,600192_1m_1761409124697,600192,1m,123.125.108.56,7709,中银,success,,800,1.842,7,48,Phase1
2025-10-26 00:18:44.699,600196_5m_1761409124699,600196,5m,183.60.224.26,7709,长江,success,,5,1.844,7,56,Phase1
2025-10-26 00:18:44.705,600201_5m_1761409124705,600201,5m,123.125.108.107,7709,国联,success,,5,1.850,7,71,Phase1
2025-10-26 00:18:44.708,600215_5m_1761409124708,600215,5m,218.108.42.89,7709,财通,success,,5,1.852,7,98,Phase1
2025-10-26 00:18:44.713,600207_1d_1761409124713,600207,1d,119.27.181.132,7709,红塔,success,,15,1.858,7,82,Phase1
2025-10-26 00:18:44.724,600187_1d_1761409124724,600187,1d,117.175.57.166,7709,华西,success,,15,1.869,7,34,Phase1
2025-10-26 00:18:44.735,600176_1m_1761409124735,600176,1m,122.112.132.185,7709,浙商,success,,800,1.880,7,6,Phase1
2025-10-26 00:18:44.739,600200_1m_1761409124739,600200,1m,[2408:4003:1f20::1e6],7709,银河,success,,800,1.884,7,69,Phase1
2025-10-26 00:18:44.743,600177_1m_1761409124743,600177,1m,61.139.133.110,7709,东北,success,,800,1.888,7,9,Phase1
2025-10-26 00:18:44.745,600193_1m_1761409124745,600193,1m,182.131.3.228,7709,国信,success,,800,1.890,7,51,Phase1
2025-10-26 00:18:44.749,600206_1d_1761409124749,600206,1d,148.70.110.41,7709,国泰,success,,15,1.894,7,79,Phase1
2025-10-26 00:18:44.753,600208_5m_1761409124753,600208,5m,42.177.92.40,7709,光大,success,,5,1.897,7,86,Phase1
2025-10-26 00:18:44.756,600184_5m_1761409124756,600184,5m,58.48.243.38,7709,长江,success,,5,1.901,7,26,Phase1
2025-10-26 00:18:44.761,600201_1d_1761409124761,600201,1d,202.100.166.26,7709,东兴,success,,15,1.906,7,70,Phase1
2025-10-26 00:18:44.764,600188_1m_1761409124765,600188,1m,120.25.129.112,7709,第一创业,success,,800,1.909,7,39,Phase1
2025-10-26 00:18:44.770,600210_5m_1761409124770,600210,5m,218.106.92.183,7709,华林,success,,5,1.914,7,89,Phase1
2025-10-26 00:18:44.773,600212_5m_1761409124773,600212,5m,183.230.9.136,7709,西南,success,,5,1.917,7,95,Phase1
2025-10-26 00:18:44.778,600216_5m_1761409124778,600216,5m,119.29.19.242,7709,广发,success,,5,1.917,7,101,Phase1
2025-10-26 00:18:44.782,600210_1d_1761409124782,600210,1d,[240E:0974:E200:0600:0001:0C02:0A5B:59F5],7709,光大,success,,15,1.926,7,88,Phase1
2025-10-26 00:18:44.788,600203_5m_1761409124788,600203,5m,202.100.166.117,7709,国泰,success,,5,1.933,7,77,Phase1
2025-10-26 00:18:44.792,600215_1m_1761409124792,600215,1m,220.249.123.195,7709,长江,success,,800,1.936,7,99,Phase1
2025-10-26 00:18:44.797,600188_5m_1761409124797,600188,5m,39.108.166.99,7709,华泰,success,,5,1.942,7,38,Phase1
2025-10-26 00:18:44.810,600189_1m_1761409124810,600189,1m,124.232.142.26,7709,湘财,success,,800,1.955,7,42,Phase1
2025-10-26 00:18:44.823,600199_5m_1761409124823,600199,5m,61.188.177.229,7709,华安,success,,5,1.968,7,65,Phase1
2025-10-26 00:18:44.828,600210_1m_1761409124828,600210,1m,114.28.169.14,7709,光大,success,,800,1.972,7,90,Phase1
2025-10-26 00:18:44.830,600173_5m_1761409124830,600173,5m,210.21.198.233,7709,长城,success,,5,1.975,7,1,Phase1
2025-10-26 00:18:44.832,600198_5m_1761409124832,600198,5m,210.5.155.110,7709,国海,success,,5,1.977,7,62,Phase1
2025-10-26 00:18:44.836,600199_1m_1761409124836,600199,1m,14.17.75.96,7709,中泰,success,,800,1.981,7,66,Phase1
2025-10-26 00:18:44.839,600196_1m_1761409124839,600196,1m,103.251.85.58,7709,华西,success,,800,1.984,7,57,Phase1
2025-10-26 00:18:44.841,600200_1d_1761409124841,600200,1d,47.107.23.229,7709,国海,success,,15,1.986,7,67,Phase1
2025-10-26 00:18:44.843,600207_1m_1761409124843,600207,1m,124.95.141.25,7709,东兴,success,,800,1.987,7,84,Phase1
2025-10-26 00:18:44.852,600180_1m_1761409124852,600180,1m,175.6.5.151,7709,方正,success,,800,1.997,7,18,Phase1
2025-10-26 00:18:44.855,600211_5m_1761409124855,600211,5m,120.86.124.116,7709,长江,success,,5,1.999,7,92,Phase1
2025-10-26 00:18:44.857,600189_5m_1761409124858,600189,5m,103.251.85.93,7709,国泰,success,,5,2.002,7,41,Phase1
2025-10-26 00:18:44.860,600199_1d_1761409124860,600199,1d,121.33.228.164,7709,中信,success,,15,2.005,7,64,Phase1
2025-10-26 00:18:44.865,600202_1m_1761409124866,600202,1m,218.6.170.50,7709,首创,success,,800,2.010,7,75,Phase1
2025-10-26 00:18:44.876,600191_1m_1761409124876,600191,1m,175.6.43.87,7709,国信,success,,800,2.021,7,45,Phase1
2025-10-26 00:18:44.880,600183_1d_1761409124880,600183,1d,116.211.121.31,7709,国泰,success,,15,2.025,7,22,Phase1
2025-10-26 00:18:44.884,600173_1m_1761409124884,600173,1m,202.100.166.118,7709,国泰,success,,800,2.029,7,3,Phase1
2025-10-26 00:18:44.897,600179_1d_1761409124897,600179,1d,[240E:00C2:1800:003D:0001:0C04:0A55:51F7],7709,光大,success,,15,2.042,7,13,Phase1
2025-10-26 00:18:44.900,600201_1m_1761409124900,600201,1m,27.151.2.121,7709,兴业,success,,800,2.045,7,72,Phase1
2025-10-26 00:18:44.905,600202_1d_1761409124905,600202,1d,101.133.231.193,7709,国信,success,,15,2.050,7,73,Phase1
