时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:30:12.834,600162_5m_1761409812834,600162,5m,123.125.108.187,7709,国元,success,,5,0.664,5,6,Phase1
2025-10-26 00:30:13.222,600168_1d_1761409813222,600168,1d,221.178.187.19,7709,国联,success,,15,1.052,5,19,Phase1
2025-10-26 00:30:13.242,600160_1m_1761409813242,600160,1m,101.226.11.206,7709,西南,success,,800,1.072,5,1,Phase1
2025-10-26 00:30:13.253,600179_1m_1761409813253,600179,1m,183.201.231.88,7709,国信,success,,800,1.083,5,46,Phase1
2025-10-26 00:30:13.257,600161_1d_1761409813257,600161,1d,61.183.150.136,7709,长江,success,,15,1.087,5,2,Phase1
2025-10-26 00:30:13.261,600165_1d_1761409813261,600165,1d,101.230.146.131,7709,东兴,success,,15,1.091,5,11,Phase1
2025-10-26 00:30:13.263,600183_5m_1761409813263,600183,5m,[2408:8706:0000:E400:0001:0C10:0A56:0AE0],7709,国金,success,,5,1.093,5,54,Phase1
2025-10-26 00:30:13.265,600162_1m_1761409813265,600162,1m,114.28.169.159,7709,东兴,success,,800,1.095,5,7,Phase1
2025-10-26 00:30:13.268,600182_1d_1761409813268,600182,1d,218.106.92.183,7709,华林,success,,15,1.098,5,50,Phase1
2025-10-26 00:30:13.271,600172_1d_1761409813271,600172,1d,220.248.230.39,7709,华安,success,,15,1.101,5,30,Phase1
2025-10-26 00:30:13.308,600163_5m_1761409813308,600163,5m,103.221.142.68,7709,国泰,success,,5,1.138,5,9,Phase1
2025-10-26 00:30:13.323,600191_5m_1761409813323,600191,5m,123.125.108.88,7709,南京,success,,5,1.153,5,74,Phase1
2025-10-26 00:30:13.411,600189_5m_1761409813411,600189,5m,1.202.143.37,7709,银河,success,,5,1.241,5,71,Phase1
2025-10-26 00:30:13.414,600163_1m_1761409813414,600163,1m,125.46.62.167,7709,中原,success,,800,1.244,5,10,Phase1
2025-10-26 00:30:13.417,600199_1d_1761409813417,600199,1d,222.73.171.156,7709,长江,success,,15,1.247,5,92,Phase1
2025-10-26 00:30:13.421,600198_1m_1761409813421,600198,1m,103.221.142.65,7709,国泰,success,,800,1.251,5,91,Phase1
2025-10-26 00:30:13.424,600161_5m_1761409813424,600161,5m,221.130.121.45,7709,国元,success,,5,1.254,5,3,Phase1
2025-10-26 00:30:13.429,600177_5m_1761409813429,600177,5m,103.251.85.87,7709,国元,success,,5,1.259,5,40,Phase1
2025-10-26 00:30:13.432,600173_1m_1761409813432,600173,1m,121.37.169.248,7709,申万宏源,success,,800,1.262,5,35,Phase1
2025-10-26 00:30:13.436,600197_1d_1761409813436,600197,1d,101.226.11.208,7709,首创,success,,15,1.266,5,86,Phase1
2025-10-26 00:30:13.440,600166_5m_1761409813440,600166,5m,[2400:8200:8001:0109:0001:0D03:0A52:28F5],7709,国金,success,,5,1.270,5,14,Phase1
2025-10-26 00:30:13.442,600176_1d_1761409813442,600176,1d,182.118.47.188,7709,国投,success,,15,1.272,5,36,Phase1
2025-10-26 00:30:13.446,600163_1d_1761409813446,600163,1d,220.249.123.195,7709,长江,success,,15,1.276,5,8,Phase1
2025-10-26 00:30:13.449,600189_1d_1761409813449,600189,1d,103.221.142.80,7709,国泰,success,,15,1.279,5,70,Phase1
2025-10-26 00:30:13.454,600196_1d_1761409813454,600196,1d,123.125.108.215,7709,天风,success,,15,1.284,5,84,Phase1
2025-10-26 00:30:13.459,600199_5m_1761409813459,600199,5m,220.203.236.11,7709,国投,success,,5,1.289,5,93,Phase1
2025-10-26 00:30:13.463,600173_1d_1761409813463,600173,1d,139.196.1.132,7709,第一创业,success,,15,1.293,5,33,Phase1
2025-10-26 00:30:13.470,600186_5m_1761409813470,600186,5m,221.204.19.194,7709,山西,success,,5,1.300,5,62,Phase1
2025-10-26 00:30:13.475,600193_1d_1761409813475,600193,1d,101.230.126.42,7709,国投,success,,15,1.305,5,78,Phase1
2025-10-26 00:30:13.488,600192_1d_1761409813488,600192,1d,109.244.35.28,7709,国信,success,,15,1.318,5,76,Phase1
2025-10-26 00:30:13.504,600188_5m_1761409813504,600188,5m,[2409:8750:a00:2:0:0:0:3001],7709,方正,success,,5,1.334,5,68,Phase1
2025-10-26 00:30:13.506,600167_1d_1761409813506,600167,1d,[2408:872F:0020:0009:0001:0C02:0A5C:26F2],7709,光大,success,,15,1.336,5,16,Phase1
2025-10-26 00:30:13.511,600200_5m_1761409813511,600200,5m,117.34.114.14,7709,国泰君安,success,,5,1.341,5,96,Phase1
2025-10-26 00:30:13.524,600195_1d_1761409813524,600195,1d,123.125.108.56,7709,中银,success,,15,1.354,5,81,Phase1
2025-10-26 00:30:13.529,600165_1m_1761409813529,600165,1m,222.173.21.68,7709,中泰,success,,800,1.359,5,12,Phase1
2025-10-26 00:30:13.535,600170_1d_1761409813535,600170,1d,103.251.85.60,7709,天风,success,,15,1.365,5,25,Phase1
2025-10-26 00:30:13.539,600180_1d_1761409813539,600180,1d,182.140.239.184,7709,华西,success,,15,1.369,5,47,Phase1
2025-10-26 00:30:13.545,600178_5m_1761409813545,600178,5m,114.141.155.147,7709,东方财富,success,,5,1.375,5,43,Phase1
2025-10-26 00:30:13.556,600192_1m_1761409813556,600192,1m,[2408:8642:EFE:60::ffff:30],7709,浙商,success,,800,1.386,5,77,Phase1
2025-10-26 00:30:13.564,600183_1d_1761409813564,600183,1d,221.179.18.108,7709,长城,success,,15,1.394,5,53,Phase1
2025-10-26 00:30:13.570,600200_1d_1761409813570,600200,1d,114.28.169.226,7709,中泰,success,,15,1.400,5,95,Phase1
2025-10-26 00:30:13.582,600189_1m_1761409813582,600189,1m,180.163.181.72,7709,中银,success,,800,1.412,5,72,Phase1
2025-10-26 00:30:13.587,600180_1m_1761409813587,600180,1m,115.233.213.169,7709,财通,success,,800,1.417,5,49,Phase1
2025-10-26 00:30:13.593,600198_1d_1761409813593,600198,1d,182.118.8.4,7709,中信,success,,15,1.423,5,89,Phase1
2025-10-26 00:30:13.606,600179_1d_1761409813606,600179,1d,218.6.170.50,7709,首创,success,,15,1.436,5,44,Phase1
2025-10-26 00:30:13.611,600201_1m_1761409813611,600201,1m,117.149.2.68,7709,中信,success,,800,1.441,5,99,Phase1
2025-10-26 00:30:13.632,600167_5m_1761409813632,600167,5m,111.23.148.7,7709,方正,success,,5,1.462,5,17,Phase1
2025-10-26 00:30:13.639,600169_1d_1761409813639,600169,1d,58.63.254.158,7709,财通,success,,15,1.469,5,22,Phase1
2025-10-26 00:30:13.659,600184_5m_1761409813659,600184,5m,[2408:8656:2ef4:e000:172:25:161:18],7709,国投,success,,5,1.489,5,57,Phase1
2025-10-26 00:30:13.664,600191_1m_1761409813664,600191,1m,47.109.19.135,7709,国海,success,,800,1.494,5,75,Phase1
