时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:30:17.430,600571_1d_1761409817430,600571,1d,103.221.142.65,7709,国泰,success,,15,0.346,6,4,Phase1
2025-10-26 00:30:17.952,600580_1m_1761409817952,600580,1m,221.131.136.194,7709,中信,success,,800,0.868,6,29,Phase1
2025-10-26 00:30:17.991,600580_1d_1761409817991,600580,1d,182.118.47.153,7709,东兴,success,,15,0.907,6,27,Phase1
2025-10-26 00:30:18.006,600585_1m_1761409818006,600585,1m,[2409:8720:e00:5:3:0:0:13],7709,华泰,success,,800,0.922,6,43,Phase1
2025-10-26 00:30:18.199,600593_1d_1761409818199,600593,1d,123.125.108.42,7709,国盛,success,,15,1.115,6,61,Phase1
2025-10-26 00:30:18.202,600587_1d_1761409818202,600587,1d,123.125.135.44,7709,信达,success,,15,1.118,6,47,Phase1
2025-10-26 00:30:18.206,600569_5m_1761409818206,600569,5m,218.75.126.9,7709,杭州电信主站J3,success,,5,1.122,6,0,Phase1
2025-10-26 00:30:18.211,600569_1m_1761409818211,600569,1m,182.118.8.4,7709,中信,success,,800,1.127,6,2,Phase1
2025-10-26 00:30:18.214,600575_1d_1761409818214,600575,1d,[2408:8721:0820:0106:0001:0C02:0A5C:11F4],7709,光大,success,,15,1.130,6,13,Phase1
2025-10-26 00:30:18.216,600594_5m_1761409818216,600594,5m,[2400:8200:8001:0109:0001:0D02:0A53:81EC],7709,湘财,success,,5,1.132,6,65,Phase1
2025-10-26 00:30:18.219,600584_5m_1761409818219,600584,5m,121.55.63.137,7709,首创,success,,5,1.135,6,40,Phase1
2025-10-26 00:30:18.223,600583_1d_1761409818223,600583,1d,[2409:8700:c01:b0:218:205:223:3],7709,东兴,success,,15,1.139,6,36,Phase1
2025-10-26 00:30:18.227,600572_1m_1761409818227,600572,1m,117.34.114.14,7709,国泰君安,success,,800,1.143,6,9,Phase1
2025-10-26 00:30:18.230,600600_1m_1761409818230,600600,1m,103.221.142.66,7709,国泰,success,,800,1.145,6,82,Phase1
2025-10-26 00:30:18.234,600597_1d_1761409818234,600597,1d,1.71.148.194,7709,山西,success,,15,1.149,6,72,Phase1
2025-10-26 00:30:18.246,600576_5m_1761409818246,600576,5m,111.202.168.194,7709,首创,success,,5,1.162,6,17,Phase1
2025-10-26 00:30:18.251,600605_5m_1761409818251,600605,5m,[2408:8706:0:E400:1:E06:A5E:E811],7709,东北,success,,5,1.166,6,95,Phase1
2025-10-26 00:30:18.253,600602_5m_1761409818253,600602,5m,42.159.119.221,7709,华林,success,,5,1.168,6,86,Phase1
2025-10-26 00:30:18.256,600586_1d_1761409818256,600586,1d,125.46.62.166,7709,中原,success,,15,1.172,6,44,Phase1
2025-10-26 00:30:18.260,600581_1d_1761409818260,600581,1d,182.118.8.6,7709,国信,success,,15,1.176,6,30,Phase1
2025-10-26 00:30:18.263,600604_5m_1761409818263,600604,5m,120.253.221.207,7709,中信,success,,5,1.178,6,92,Phase1
2025-10-26 00:30:18.267,600606_1m_1761409818267,600606,1m,120.253.217.79,7709,东兴,success,,800,1.182,6,99,Phase1
2025-10-26 00:30:18.270,600601_1d_1761409818270,600601,1d,221.12.170.169,7709,财通,success,,15,1.185,6,83,Phase1
2025-10-26 00:30:18.273,600592_5m_1761409818273,600592,5m,119.97.164.184,7709,国泰,success,,5,1.189,6,59,Phase1
2025-10-26 00:30:18.276,600570_5m_1761409818276,600570,5m,103.251.85.197,7709,中泰,success,,5,1.192,6,3,Phase1
