时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:30:28.663,603583_1m_1761409828663,603583,1m,218.6.170.91,7709,国信,failed,返回数据为空,0,0.005,0,14,Phase1
2025-10-26 00:30:28.687,603637_1m_1761409828687,603637,1m,218.6.170.91,7709,国信,failed,返回数据为空,0,0.000,0,14,Phase1
2025-10-26 00:30:29.709,603605_1d_1761409829709,603605,1d,121.37.169.248,7709,申万宏源,success,,15,1.051,0,49,Phase1
2025-10-26 00:30:29.722,603588_1d_1761409829722,603588,1d,125.46.62.167,7709,中原,success,,15,1.064,0,24,Phase1
2025-10-26 00:30:29.728,603610_1m_1761409829728,603610,1m,123.125.108.106,7709,湘财,success,,800,1.070,0,65,Phase1
2025-10-26 00:30:29.734,603587_1m_1761409829734,603587,1m,103.221.142.68,7709,国泰,success,,800,1.076,0,23,Phase1
2025-10-26 00:30:29.737,603626_1d_1761409829738,603626,1d,123.125.108.88,7709,南京,success,,15,1.078,0,88,Phase1
2025-10-26 00:30:29.755,603587_1d_1761409829755,603587,1d,114.28.169.159,7709,东兴,success,,15,1.097,0,21,Phase1
2025-10-26 00:30:29.760,603583_1d_1761409829760,603583,1d,123.125.108.12,7709,首创,success,,15,1.102,0,13,Phase1
2025-10-26 00:30:29.784,603596_1d_1761409829784,603596,1d,221.178.187.19,7709,国联,success,,15,1.126,0,33,Phase1
2025-10-26 00:30:29.791,603609_1d_1761409829791,603609,1d,183.201.231.88,7709,国信,success,,15,1.133,0,60,Phase1
2025-10-26 00:30:29.849,603580_5m_1761409829849,603580,5m,[2408:860c:0:c000:192:168:166:12],7709,东方,success,,5,1.191,0,11,Phase1
2025-10-26 00:30:29.876,603588_5m_1761409829876,603588,5m,101.230.146.131,7709,东兴,success,,5,1.218,0,25,Phase1
2025-10-26 00:30:29.881,603619_1d_1761409829881,603619,1d,1.202.143.37,7709,银河,success,,15,1.222,0,85,Phase1
2025-10-26 00:30:29.891,603616_1d_1761409829891,603616,1d,221.204.19.194,7709,山西,success,,15,1.232,0,76,Phase1
2025-10-26 00:30:29.897,603596_5m_1761409829897,603596,5m,60.191.33.105,7709,财通,success,,5,1.239,0,34,Phase1
2025-10-26 00:30:29.904,603629_5m_1761409829904,603629,5m,123.125.108.56,7709,中银,success,,5,1.245,0,95,Phase1
2025-10-26 00:30:29.913,603585_1d_1761409829913,603585,1d,101.226.11.206,7709,西南,success,,15,1.255,0,15,Phase1
2025-10-26 00:30:29.924,603609_1m_1761409829924,603609,1m,111.203.134.118,7709,银河,success,,800,1.266,0,62,Phase1
2025-10-26 00:30:29.932,603619_5m_1761409829932,603619,5m,180.163.181.72,7709,中银,success,,5,1.273,0,86,Phase1
2025-10-26 00:30:29.938,603599_5m_1761409829938,603599,5m,103.251.85.60,7709,天风,success,,5,1.280,0,39,Phase1
2025-10-26 00:30:29.945,603636_1d_1761409829945,603636,1d,182.118.8.4,7709,中信,success,,15,1.282,0,103,Phase1
2025-10-26 00:30:29.955,603602_5m_1761409829955,603602,5m,139.196.1.132,7709,第一创业,success,,5,1.297,0,47,Phase1
2025-10-26 00:30:29.963,603577_1d_1761409829963,603577,1d,116.211.121.31,7709,国泰,success,,15,1.305,0,1,Phase1
2025-10-26 00:30:29.971,603629_1m_1761409829971,603629,1m,125.39.80.98,7709,长江,success,,800,1.312,0,96,Phase1
2025-10-26 00:30:29.979,603588_1m_1761409829979,603588,1m,222.173.21.68,7709,中泰,success,,800,1.321,0,26,Phase1
2025-10-26 00:30:29.987,603606_1m_1761409829987,603606,1m,103.251.85.87,7709,国元,success,,800,1.329,0,54,Phase1
2025-10-26 00:30:29.996,603608_1d_1761409829996,603608,1d,114.141.155.147,7709,东方财富,success,,15,1.338,0,57,Phase1
2025-10-26 00:30:30.011,603587_5m_1761409830011,603587,5m,220.249.123.195,7709,长江,success,,5,1.353,0,22,Phase1
2025-10-26 00:30:30.025,603612_1d_1761409830025,603612,1d,[2408:8706:0000:E400:0001:0C10:0A56:0AE0],7709,国金,success,,15,1.367,0,68,Phase1
2025-10-26 00:30:30.033,603580_1d_1761409830033,603580,1d,110.53.177.135,7709,方正,success,,15,1.375,0,10,Phase1
2025-10-26 00:30:30.058,603628_1d_1761409830058,603628,1d,[2408:8642:EFE:60::ffff:30],7709,浙商,success,,15,1.399,0,91,Phase1
2025-10-26 00:30:30.072,603578_1d_1761409830072,603578,1d,111.47.10.68,7709,长江,success,,15,1.414,0,5,Phase1
2025-10-26 00:30:30.081,603578_5m_1761409830081,603578,5m,112.45.28.5,7709,华西,success,,5,1.423,0,6,Phase1
2025-10-26 00:30:30.103,603613_5m_1761409830103,603613,5m,117.185.5.19,7709,国盛,success,,5,1.444,0,72,Phase1
2025-10-26 00:30:30.131,603617_5m_1761409830131,603617,5m,120.199.2.122,7709,中信,success,,5,1.472,0,80,Phase1
2025-10-26 00:30:30.149,603618_1m_1761409830149,603618,1m,103.221.142.80,7709,国泰,success,,800,1.490,0,84,Phase1
2025-10-26 00:30:30.163,603633_1d_1761409830163,603633,1d,101.226.11.208,7709,首创,success,,15,1.504,0,100,Phase1
2025-10-26 00:30:30.169,603601_1d_1761409830169,603601,1d,220.248.230.39,7709,华安,success,,15,1.511,0,44,Phase1
2025-10-26 00:30:30.175,603589_1m_1761409830175,603589,1m,[2400:8200:8001:0109:0001:0D03:0A52:28F5],7709,国金,success,,800,1.517,0,28,Phase1
2025-10-26 00:30:30.183,603569_5m_1761409830183,603569,5m,124.28.196.99,7709,国海,success,,5,1.525,0,0,Phase1
2025-10-26 00:30:30.191,603612_5m_1761409830191,603612,5m,180.153.18.170,7709,上海电信主站Z1,success,,5,1.533,0,69,Phase1
2025-10-26 00:30:30.198,603628_1m_1761409830198,603628,1m,114.28.171.32,7709,东北,success,,800,1.539,0,93,Phase1
2025-10-26 00:30:30.213,603600_1d_1761409830213,603600,1d,175.6.5.151,7709,方正,success,,15,1.555,0,41,Phase1
2025-10-26 00:30:30.221,603569_1m_1761409830222,603569,1m,182.118.47.138,7709,申万宏源,success,,800,1.563,0,2,Phase1
2025-10-26 00:30:30.230,603585_1m_1761409830230,603585,1m,221.130.121.45,7709,国元,success,,800,1.572,0,17,Phase1
2025-10-26 00:30:30.241,603590_5m_1761409830241,603590,5m,58.63.254.153,7709,山西,success,,5,1.583,0,29,Phase1
2025-10-26 00:30:30.246,603633_1m_1761409830246,603633,1m,119.4.167.131,7709,华西,success,,800,1.587,0,102,Phase1
2025-10-26 00:30:30.255,603615_1m_1761409830255,603615,1m,[2408:8656:d0fd:e000:172:24:161:115],7709,国投,success,,800,1.596,0,75,Phase1
2025-10-26 00:30:30.264,603629_1d_1761409830264,603629,1d,210.5.155.110,7709,国海,success,,15,1.605,0,94,Phase1
2025-10-26 00:30:30.273,603628_5m_1761409830273,603628,5m,101.230.126.42,7709,国投,success,,5,1.614,0,92,Phase1
