时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-27 21:36:28.272,603610_5m_1761572188272,603610,5m,115.28.252.213,7709,光大,success,,2,0.634,0,58,Phase1
2025-10-27 21:36:28.280,603598_5m_1761572188280,603598,5m,222.173.21.68,7709,中泰,success,,2,0.643,0,29,Phase1
2025-10-27 21:36:28.564,603579_1m_1761572188564,603579,1m,101.230.66.1,7709,东方,success,,800,0.928,0,0,Phase1
2025-10-27 21:36:28.568,603618_1m_1761572188568,603618,1m,1.192.125.3,7709,中原,success,,800,0.931,0,77,Phase1
2025-10-27 21:36:28.570,603589_5m_1761572188570,603589,5m,218.75.126.9,7709,杭州电信主站J3,success,,2,0.934,0,18,Phase1
2025-10-27 21:36:28.573,603585_5m_1761572188573,603585,5m,[240e:688:200:4200:192:168:166:12],7709,东方,success,,2,0.937,0,7,Phase1
2025-10-27 21:36:28.576,603610_1m_1761572188576,603610,1m,120.210.144.2,7709,国元,success,,800,0.939,0,59,Phase1
2025-10-27 21:36:28.628,603607_5m_1761572188628,603607,5m,[2408:863c:e01:1:3:0:0:13],7709,华泰,success,,2,0.991,0,50,Phase1
2025-10-27 21:36:28.630,603605_1d_1761572188630,603605,1d,114.141.177.78,7709,华林,success,,6,0.993,0,43,Phase1
2025-10-27 21:36:28.634,603607_1m_1761572188634,603607,1m,[240E:0694:0E21:0020::ffff:30],7709,浙商,success,,800,0.997,0,51,Phase1
2025-10-27 21:36:28.637,603588_1d_1761572188638,603588,1d,103.251.85.196,7709,中泰,success,,6,1.001,0,15,Phase1
2025-10-27 21:36:28.641,603596_1m_1761572188641,603596,1m,120.253.221.207,7709,中信,success,,800,1.005,0,27,Phase1
2025-10-27 21:36:28.645,603598_1d_1761572188645,603598,1d,[2400:8200:8002:1800:3da5:6af9:3860:49b6],7709,中泰,success,,6,1.008,0,28,Phase1
2025-10-27 21:36:28.649,603583_5m_1761572188649,603583,5m,125.46.62.162,7709,中原,success,,2,1.013,0,5,Phase1
2025-10-27 21:36:28.651,603586_5m_1761572188651,603586,5m,[2408:8721:0820:0106:0001:0C06:0A5A:11E1],7709,国金,success,,2,1.015,0,10,Phase1
2025-10-27 21:36:28.657,603580_1d_1761572188657,603580,1d,182.118.8.4,7709,中信,success,,6,1.021,0,1,Phase1
2025-10-27 21:36:28.659,603587_1m_1761572188659,603587,1m,125.46.62.168,7709,中原,success,,800,1.023,0,14,Phase1
2025-10-27 21:36:28.661,603586_1d_1761572188661,603586,1d,103.221.142.67,7709,国泰,success,,6,1.025,0,9,Phase1
2025-10-27 21:36:28.663,603616_1m_1761572188663,603616,1m,125.46.62.166,7709,中原,success,,800,1.026,0,72,Phase1
2025-10-27 21:36:28.666,603606_1m_1761572188666,603606,1m,1.192.125.4,7709,中原,success,,800,1.029,0,48,Phase1
2025-10-27 21:36:28.668,603596_1d_1761572188668,603596,1d,27.151.2.123,7709,中信建投,success,,6,1.032,0,25,Phase1
2025-10-27 21:36:28.671,603618_1d_1761572188671,603618,1d,103.251.85.28,7709,华西,success,,6,1.034,0,76,Phase1
