时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-27 21:36:03.408,600009_1d_1761572163408,600009,1d,[2409:8720:e00:5:2:0:0:13],7709,华泰,success,,6,0.908,4,15,Phase1
2025-10-27 21:36:03.414,600011_1d_1761572163414,600011,1d,120.199.2.123,7709,中信,success,,6,0.915,4,21,Phase1
2025-10-27 21:36:03.425,600015_1m_1761572163425,600015,1m,101.230.66.1,7709,东方,success,,800,0.925,4,29,Phase1
2025-10-27 21:36:03.428,600026_5m_1761572163428,600026,5m,222.173.21.68,7709,中泰,success,,2,0.928,4,58,Phase1
2025-10-27 21:36:03.431,600028_1d_1761572163431,600028,1d,218.106.92.183,7709,华林,success,,6,0.931,4,63,Phase1
2025-10-27 21:36:03.433,600000_1d_1761572163433,600000,1d,[2409:871e:8f01:2031:192:168:166:12],7709,东方,success,,6,0.933,4,0,Phase1
2025-10-27 21:36:03.435,600008_5m_1761572163435,600008,5m,115.238.90.165,7709,杭州电信主站J4,success,,2,0.935,4,13,Phase1
2025-10-27 21:36:03.438,600027_1d_1761572163438,600027,1d,183.201.253.75,7709,中信建投,success,,6,0.938,4,60,Phase1
2025-10-27 21:36:03.440,600004_5m_1761572163440,600004,5m,120.199.2.122,7709,中信,success,,2,0.940,4,4,Phase1
2025-10-27 21:36:03.442,600016_1d_1761572163442,600016,1d,182.118.8.4,7709,中信,success,,6,0.943,4,30,Phase1
2025-10-27 21:36:03.445,600010_1m_1761572163445,600010,1m,103.221.142.70,7709,国泰,success,,800,0.946,4,20,Phase1
2025-10-27 21:36:03.447,600037_1m_1761572163447,600037,1m,115.28.252.213,7709,光大,success,,800,0.948,4,89,Phase1
2025-10-27 21:36:03.456,600009_5m_1761572163456,600009,5m,125.46.62.170,7709,中原,success,,2,0.956,4,16,Phase1
2025-10-27 21:36:03.463,600025_1m_1761572163463,600025,1m,120.253.221.207,7709,中信,success,,800,0.963,4,56,Phase1
2025-10-27 21:36:03.466,600007_1m_1761572163466,600007,1m,112.28.135.22,7709,华安,success,,800,0.966,4,11,Phase1
2025-10-27 21:36:03.486,600033_1d_1761572163486,600033,1d,1.192.125.4,7709,中原,success,,6,0.986,4,78,Phase1
2025-10-27 21:36:03.494,600021_5m_1761572163494,600021,5m,103.251.85.58,7709,华西,success,,2,0.995,4,46,Phase1
2025-10-27 21:36:03.504,600019_1d_1761572163504,600019,1d,[2408:8721:0820:0106:0001:0C06:0A5A:11E1],7709,国金,success,,6,1.004,4,39,Phase1
2025-10-27 21:36:03.507,600026_1d_1761572163507,600026,1d,[2400:8200:8002:1800:3da5:6af9:3860:49b6],7709,中泰,success,,6,1.007,4,57,Phase1
2025-10-27 21:36:03.511,600038_5m_1761572163511,600038,5m,60.12.136.250,7709,杭州联通主站J2,success,,2,1.011,4,91,Phase1
2025-10-27 21:36:03.514,600038_1d_1761572163514,600038,1d,120.210.144.2,7709,国元,success,,6,1.015,4,90,Phase1
2025-10-27 21:36:03.518,600032_1d_1761572163518,600032,1d,114.141.177.44,7709,中信,success,,6,1.019,4,75,Phase1
2025-10-27 21:36:03.522,600021_1m_1761572163522,600021,1m,218.75.126.9,7709,杭州电信主站J3,success,,800,1.023,4,47,Phase1
2025-10-27 21:36:03.525,600006_1d_1761572163525,600006,1d,[2408:860c:0:c000:192:168:166:12],7709,东方,success,,6,1.026,4,6,Phase1
2025-10-27 21:36:03.528,600032_5m_1761572163528,600032,5m,117.34.114.16,7709,国泰君安,success,,2,1.029,4,76,Phase1
2025-10-27 21:36:03.531,600028_5m_1761572163531,600028,5m,47.109.19.135,7709,国海,success,,2,1.032,4,64,Phase1
2025-10-27 21:36:03.533,600018_1m_1761572163533,600018,1m,103.221.142.67,7709,国泰,success,,800,1.034,4,38,Phase1
2025-10-27 21:36:03.535,600022_1d_1761572163535,600022,1d,114.28.173.135,7709,国泰,success,,6,1.035,4,48,Phase1
2025-10-27 21:36:03.537,600031_5m_1761572163537,600031,5m,114.141.177.78,7709,华林,success,,2,1.037,4,73,Phase1
2025-10-27 21:36:03.540,600006_1m_1761572163540,600006,1m,112.51.30.203,7709,兴业,success,,800,1.040,4,8,Phase1
2025-10-27 21:36:03.542,600015_5m_1761572163542,600015,5m,[2408:8706:0:e400:1:c10:a56:ae4],7709,光大,success,,2,1.042,4,28,Phase1
2025-10-27 21:36:03.550,600021_1d_1761572163550,600021,1d,103.251.85.91,7709,国泰,success,,6,1.051,4,45,Phase1
2025-10-27 21:36:03.561,600030_5m_1761572163561,600030,5m,109.244.14.35,7709,中泰,success,,2,1.062,4,70,Phase1
2025-10-27 21:36:03.563,600007_1d_1761572163563,600007,1d,153.3.253.68,7709,南京,success,,6,1.064,4,9,Phase1
2025-10-27 21:36:03.568,600025_5m_1761572163568,600025,5m,123.125.108.110,7709,国金,success,,2,1.068,4,55,Phase1
2025-10-27 21:36:03.571,600015_1d_1761572163571,600015,1d,182.118.47.153,7709,东兴,success,,6,1.071,4,27,Phase1
2025-10-27 21:36:03.574,600033_1m_1761572163574,600033,1m,[2408:863c:e01:1:3:0:0:13],7709,华泰,success,,800,1.074,4,80,Phase1
2025-10-27 21:36:03.577,600007_5m_1761572163577,600007,5m,58.63.254.248,7709,南京,success,,2,1.078,4,10,Phase1
2025-10-27 21:36:03.580,600050_5m_1761572163580,600050,5m,220.248.252.150,7709,华安,success,,2,1.081,4,100,Phase1
2025-10-27 21:36:03.584,600022_5m_1761572163584,600022,5m,125.46.92.6,7709,中原,success,,2,1.085,4,49,Phase1
2025-10-27 21:36:03.587,600023_1d_1761572163587,600023,1d,148.70.110.41,7709,国泰,success,,6,1.088,4,51,Phase1
2025-10-27 21:36:03.591,600012_5m_1761572163591,600012,5m,114.28.169.14,7709,光大,success,,2,1.092,4,25,Phase1
