时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:18:46.826,600390_1d_1761409126826,600390,1d,182.131.3.228,7709,国信,failed,返回数据为空,0,0.005,4,4,Phase1
2025-10-26 00:18:46.845,600444_1m_1761409126845,600444,1m,182.131.3.228,7709,国信,failed,返回数据为空,0,0.000,4,4,Phase1
2025-10-26 00:18:48.553,600423_1d_1761409128553,600423,1d,111.15.15.43,7709,中信,success,,15,1.731,4,70,Phase1
2025-10-26 00:18:48.562,600389_5m_1761409128562,600389,5m,123.125.108.56,7709,中银,success,,5,1.741,4,1,Phase1
2025-10-26 00:18:48.564,600410_1d_1761409128564,600410,1d,111.203.134.118,7709,银河,success,,15,1.743,4,46,Phase1
2025-10-26 00:18:48.566,600423_5m_1761409128566,600423,5m,125.46.36.132,7709,中原,success,,5,1.744,4,71,Phase1
2025-10-26 00:18:48.568,600389_1d_1761409128568,600389,1d,202.108.254.67,7709,中信,success,,15,1.747,4,2,Phase1
2025-10-26 00:18:48.570,600392_5m_1761409128570,600392,5m,182.118.47.183,7709,中信建投,success,,5,1.749,4,11,Phase1
2025-10-26 00:18:48.574,600395_1d_1761409128575,600395,1d,[240e:688:200:4200:192:168:166:12],7709,东方,success,,15,1.753,4,13,Phase1
2025-10-26 00:18:48.578,600421_1d_1761409128578,600421,1d,123.125.108.214,7709,国泰,success,,15,1.757,4,64,Phase1
2025-10-26 00:18:48.582,600391_1d_1761409128582,600391,1d,123.125.108.110,7709,国金,success,,15,1.761,4,7,Phase1
2025-10-26 00:18:48.584,600418_5m_1761409128584,600418,5m,182.118.8.9,7709,银河,success,,5,1.763,4,56,Phase1
2025-10-26 00:18:48.586,600422_1d_1761409128586,600422,1d,182.118.47.155,7709,山西,success,,15,1.764,4,67,Phase1
2025-10-26 00:18:48.589,600389_1m_1761409128589,600389,1m,125.46.36.131,7709,中原,success,,800,1.768,4,3,Phase1
2025-10-26 00:18:48.591,600409_1d_1761409128591,600409,1d,114.28.169.14,7709,光大,success,,15,1.770,4,43,Phase1
2025-10-26 00:18:48.593,600398_5m_1761409128593,600398,5m,120.136.184.201,7709,东北,success,,5,1.772,4,23,Phase1
2025-10-26 00:18:48.597,600433_5m_1761409128597,600433,5m,123.125.108.72,7709,申万宏源,success,,5,1.775,4,86,Phase1
2025-10-26 00:18:48.599,600391_5m_1761409128599,600391,5m,101.230.78.51,7709,东北,success,,5,1.778,4,8,Phase1
2025-10-26 00:18:48.601,600444_1d_1761409128601,600444,1d,[2409:8720:e00:5:2:0:0:13],7709,华泰,success,,15,1.776,4,100,Phase1
2025-10-26 00:18:48.610,600408_1d_1761409128610,600408,1d,183.201.231.88,7709,国信,success,,15,1.789,4,40,Phase1
2025-10-26 00:18:48.615,600422_1m_1761409128615,600422,1m,[2409:8728:0EFF:2004::ffff:30],7709,浙商,success,,800,1.793,4,69,Phase1
2025-10-26 00:18:48.618,600406_1m_1761409128618,600406,1m,42.177.92.40,7709,光大,success,,800,1.797,4,39,Phase1
2025-10-26 00:18:48.622,600429_1m_1761409128622,600429,1m,42.96.251.80,7709,第一创业,success,,800,1.800,4,84,Phase1
2025-10-26 00:18:48.624,600419_1d_1761409128624,600419,1d,114.141.177.42,7709,湘财,success,,15,1.803,4,58,Phase1
2025-10-26 00:18:48.636,600439_5m_1761409128636,600439,5m,220.248.230.39,7709,华安,success,,5,1.814,4,98,Phase1
2025-10-26 00:18:48.648,600409_5m_1761409128648,600409,5m,183.134.208.103,7709,浙商,success,,5,1.827,4,44,Phase1
2025-10-26 00:18:48.653,600416_1d_1761409128653,600416,1d,220.249.123.195,7709,长江,success,,15,1.832,4,52,Phase1
2025-10-26 00:18:48.659,600390_1m_1761409128659,600390,1m,125.46.62.167,7709,中原,success,,800,1.838,4,6,Phase1
