时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:18:53.776,600800_5m_1761409133776,600800,5m,183.201.231.88,7709,国信,failed,返回数据为空,0,0.007,3,2,Phase1
2025-10-26 00:18:53.804,600814_1d_1761409133804,600814,1d,111.15.15.43,7709,中信,success,,15,0.035,3,30,Phase1
2025-10-26 00:18:53.839,600847_1d_1761409133839,600847,1d,183.201.231.88,7709,国信,failed,返回数据为空,0,0.040,3,2,Phase1
2025-10-26 00:18:54.944,600808_1d_1761409134944,600808,1d,182.118.8.9,7709,银河,success,,15,1.175,3,18,Phase1
2025-10-26 00:18:55.343,600812_5m_1761409135343,600812,5m,182.118.47.155,7709,山西,success,,5,1.574,3,28,Phase1
2025-10-26 00:18:55.348,600801_1m_1761409135348,600801,1m,114.28.169.14,7709,光大,success,,800,1.579,3,5,Phase1
2025-10-26 00:18:55.359,600810_5m_1761409135359,600810,5m,123.125.108.214,7709,国泰,success,,5,1.590,3,25,Phase1
2025-10-26 00:18:55.366,600827_1d_1761409135366,600827,1d,123.125.108.45,7709,财通,success,,15,1.597,3,64,Phase1
2025-10-26 00:18:55.371,600818_1m_1761409135371,600818,1m,42.96.251.80,7709,第一创业,success,,800,1.602,3,44,Phase1
2025-10-26 00:18:55.376,600800_1m_1761409135376,600800,1m,42.177.92.40,7709,光大,success,,800,1.607,3,1,Phase1
2025-10-26 00:18:55.389,600803_1d_1761409135389,600803,1d,114.141.191.77,7709,光大,success,,15,1.620,3,9,Phase1
2025-10-26 00:18:55.394,600835_1d_1761409135394,600835,1d,219.146.254.27,7709,中信,success,,15,1.624,3,83,Phase1
2025-10-26 00:18:55.398,600812_1m_1761409135398,600812,1m,[2409:8728:0EFF:2004::ffff:30],7709,浙商,success,,800,1.629,3,29,Phase1
2025-10-26 00:18:55.404,600814_5m_1761409135404,600814,5m,125.46.36.132,7709,中原,success,,5,1.635,3,31,Phase1
