时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-26 00:18:38.550,600011_1d_1761409118550,600011,1d,122.97.246.17,7709,国联,success,,15,1.191,5,21,Phase1
2025-10-26 00:18:38.572,600008_1d_1761409118572,600008,1d,[2408:8706:0:E400:1:E06:A5E:E811],7709,东北,success,,15,1.213,5,4,Phase1
2025-10-26 00:18:38.578,600010_5m_1761409118578,600010,5m,123.125.108.44,7709,中泰,success,,5,1.219,5,19,Phase1
2025-10-26 00:18:38.584,600020_5m_1761409118584,600020,5m,103.251.85.196,7709,中泰,success,,5,1.224,5,43,Phase1
2025-10-26 00:18:38.589,600009_1d_1761409118589,600009,1d,182.118.47.141,7709,国泰,success,,15,1.230,5,15,Phase1
2025-10-26 00:18:38.592,600015_5m_1761409118592,600015,5m,114.247.168.187,7709,太平洋,success,,5,1.233,5,28,Phase1
2025-10-26 00:18:38.597,600004_1m_1761409118597,600004,1m,223.112.100.140,7709,长城,success,,800,1.238,5,6,Phase1
2025-10-26 00:18:38.617,600048_1d_1761409118617,600048,1d,182.118.47.183,7709,中信建投,success,,15,1.257,5,96,Phase1
2025-10-26 00:18:38.622,600018_1d_1761409118622,600018,1d,180.153.18.170,7709,上海电信主站Z1,success,,15,1.262,5,36,Phase1
2025-10-26 00:18:38.626,600017_1m_1761409118626,600017,1m,114.141.177.121,7709,国金,success,,800,1.266,5,35,Phase1
2025-10-26 00:18:38.637,600004_1d_1761409118637,600004,1d,109.244.7.166,7709,招商,success,,15,1.278,5,3,Phase1
2025-10-26 00:18:38.640,600006_5m_1761409118640,600006,5m,125.46.92.4,7709,中原,success,,5,1.281,5,8,Phase1
2025-10-26 00:18:38.644,600028_5m_1761409118644,600028,5m,58.48.243.38,7709,长江,success,,5,1.284,5,64,Phase1
2025-10-26 00:18:38.649,600011_1m_1761409118649,600011,1m,125.46.92.6,7709,中原,success,,800,1.290,5,23,Phase1
2025-10-26 00:18:38.653,600012_1d_1761409118653,600012,1d,[2408:8734:3:200::121],7709,东北,success,,15,1.294,5,24,Phase1
2025-10-26 00:18:38.657,600017_5m_1761409118657,600017,5m,117.34.114.20,7709,国泰君安,success,,5,1.297,5,34,Phase1
2025-10-26 00:18:38.662,600018_1m_1761409118662,600018,1m,[2408:8721:0820:0106:0001:0C06:0A5A:11E1],7709,国金,success,,800,1.302,5,38,Phase1
2025-10-26 00:18:38.672,600030_1d_1761409118672,600030,1d,115.159.68.13,7709,红塔,success,,15,1.312,5,69,Phase1
2025-10-26 00:18:38.676,600036_1d_1761409118676,600036,1d,114.28.173.134,7709,国泰,success,,15,1.316,5,84,Phase1
2025-10-26 00:18:38.679,600023_5m_1761409118679,600023,5m,117.149.2.70,7709,中信,success,,5,1.319,5,53,Phase1
2025-10-26 00:18:38.689,600006_1m_1761409118689,600006,1m,218.78.132.233,7709,国联,success,,800,1.330,5,9,Phase1
2025-10-26 00:18:38.693,600037_1d_1761409118694,600037,1d,202.108.254.67,7709,中信,success,,15,1.333,5,87,Phase1
2025-10-26 00:18:38.700,600029_1m_1761409118700,600029,1m,123.125.108.60,7709,东兴,success,,800,1.340,5,68,Phase1
2025-10-26 00:18:38.705,600012_5m_1761409118705,600012,5m,123.125.108.103,7709,中信,success,,5,1.346,5,25,Phase1
2025-10-26 00:18:38.715,600020_1m_1761409118715,600020,1m,122.112.132.185,7709,浙商,success,,800,1.355,5,44,Phase1
2025-10-26 00:18:38.719,600036_5m_1761409118719,600036,5m,183.201.253.75,7709,中信建投,success,,5,1.359,5,85,Phase1
2025-10-26 00:18:38.734,600023_1d_1761409118734,600023,1d,60.191.33.105,7709,财通,success,,15,1.374,5,52,Phase1
2025-10-26 00:18:38.738,600021_1d_1761409118738,600021,1d,119.97.142.136,7709,长江,success,,15,1.378,5,45,Phase1
2025-10-26 00:18:38.743,600029_5m_1761409118743,600029,5m,1.192.125.3,7709,中原,success,,5,1.383,5,67,Phase1
2025-10-26 00:18:38.747,600017_1d_1761409118747,600017,1d,103.251.85.176,7709,兴业,success,,15,1.387,5,33,Phase1
2025-10-26 00:18:38.751,600025_5m_1761409118751,600025,5m,120.210.144.2,7709,国元,success,,5,1.391,5,49,Phase1
2025-10-26 00:18:38.754,600028_1d_1761409118754,600028,1d,182.118.47.153,7709,东兴,success,,15,1.394,5,63,Phase1
2025-10-26 00:18:38.758,600027_1d_1761409118758,600027,1d,116.211.121.31,7709,国泰,success,,15,1.398,5,60,Phase1
2025-10-26 00:18:38.761,600027_1m_1761409118761,600027,1m,121.37.169.248,7709,申万宏源,success,,800,1.401,5,62,Phase1
2025-10-26 00:18:38.766,600038_1m_1761409118766,600038,1m,123.125.108.110,7709,国金,success,,800,1.406,5,92,Phase1
2025-10-26 00:18:38.770,600025_1d_1761409118770,600025,1d,123.125.108.101,7709,银河,success,,15,1.410,5,55,Phase1
2025-10-26 00:18:38.774,600032_1d_1761409118775,600032,1d,61.191.48.15,7709,国元,success,,15,1.414,5,75,Phase1
2025-10-26 00:18:38.779,600030_5m_1761409118779,600030,5m,110.53.177.135,7709,方正,success,,5,1.419,5,70,Phase1
2025-10-26 00:18:38.784,600016_5m_1761409118784,600016,5m,1.71.148.194,7709,山西,success,,5,1.424,5,31,Phase1
