时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-25 20:37:34.648,600881_5m_1761395854648,600881,5m,42.96.251.80,7709,第一创业,success,,5,0.039,2,24,Phase1
2025-10-25 20:37:34.661,600873_1d_1761395854661,600873,1d,221.131.139.228,7709,南京,success,,16,0.052,2,5,Phase1
2025-10-25 20:37:34.917,600879_1d_1761395854917,600879,1d,182.118.8.6,7709,国信,success,,16,0.308,2,18,Phase1
2025-10-25 20:37:34.934,600880_1m_1761395854934,600880,1m,103.221.142.71,7709,国泰,success,,800,0.325,2,22,Phase1
2025-10-25 20:37:34.942,600872_1d_1761395854942,600872,1d,222.73.171.156,7709,长江,success,,16,0.333,2,3,Phase1
2025-10-25 20:37:34.950,600872_1m_1761395854950,600872,1m,1.202.143.37,7709,银河,success,,800,0.341,2,4,Phase1
2025-10-25 20:37:34.960,600881_1d_1761395854960,600881,1d,220.248.230.39,7709,华安,success,,16,0.351,2,23,Phase1
2025-10-25 20:37:34.968,600875_1d_1761395854968,600875,1d,103.251.85.28,7709,华西,success,,16,0.359,2,11,Phase1
2025-10-25 20:37:35.206,600880_5m_1761395855206,600880,5m,103.221.142.80,7709,国泰,success,,5,0.597,2,21,Phase1
2025-10-25 20:37:35.249,600873_5m_1761395855249,600873,5m,123.125.108.219,7709,中信建投,success,,5,0.640,2,6,Phase1
2025-10-25 20:37:35.255,600874_5m_1761395855255,600874,5m,139.9.38.206,7709,国泰,success,,5,0.646,2,9,Phase1
2025-10-25 20:37:35.261,600883_1d_1761395855261,600883,1d,183.131.224.27,7709,中信,success,,16,0.652,2,29,Phase1
2025-10-25 20:37:35.266,600881_1m_1761395855266,600881,1m,111.23.148.7,7709,方正,success,,800,0.657,2,25,Phase1
2025-10-25 20:37:35.268,600885_1d_1761395855268,600885,1d,219.133.95.102,7709,长城,success,,16,0.659,2,34,Phase1
2025-10-25 20:37:35.276,600884_1d_1761395855276,600884,1d,116.239.25.227,7709,太平洋,success,,16,0.667,2,31,Phase1
2025-10-25 20:37:35.284,600871_1d_1761395855284,600871,1d,202.96.138.90,7709,华林,success,,16,0.675,2,0,Phase1
2025-10-25 20:37:35.293,600884_5m_1761395855293,600884,5m,116.211.121.102,7709,国泰,success,,5,0.684,2,32,Phase1
2025-10-25 20:37:35.301,600882_1d_1761395855302,600882,1d,221.131.114.4,7709,国联,success,,16,0.692,2,26,Phase1
2025-10-25 20:37:35.309,600874_1m_1761395855309,600874,1m,139.159.143.228,7709,国泰,success,,800,0.700,2,10,Phase1
2025-10-25 20:37:35.317,600871_1m_1761395855318,600871,1m,120.209.146.71,7709,华安,success,,800,0.708,2,2,Phase1
2025-10-25 20:37:35.322,600876_1m_1761395855322,600876,1m,61.142.4.4,7709,华西,success,,800,0.713,2,14,Phase1
2025-10-25 20:37:35.328,600875_1m_1761395855328,600875,1m,114.94.163.153,7709,中银,success,,800,0.719,2,12,Phase1
2025-10-25 20:37:35.331,600884_1m_1761395855331,600884,1m,139.159.183.76,7709,国泰,success,,800,0.722,2,33,Phase1
2025-10-25 20:37:35.336,600873_1m_1761395855336,600873,1m,113.207.108.77,7709,华林,success,,800,0.727,2,7,Phase1
2025-10-25 20:37:35.375,600876_5m_1761395855375,600876,5m,117.141.156.20,7709,国海,success,,5,0.766,2,13,Phase1
2025-10-25 20:37:35.381,600885_5m_1761395855381,600885,5m,60.12.136.250,7709,杭州联通主站J2,success,,5,0.771,2,35,Phase1
2025-10-25 20:37:35.389,600871_5m_1761395855389,600871,5m,42.177.92.40,7709,光大,success,,5,0.780,2,1,Phase1
2025-10-25 20:37:35.405,600882_5m_1761395855405,600882,5m,103.251.85.91,7709,国泰,success,,5,0.796,2,27,Phase1
2025-10-25 20:37:35.420,600877_1m_1761395855420,600877,1m,220.178.87.199,7709,华安,success,,800,0.811,2,17,Phase1
2025-10-25 20:37:35.456,600889_5m_1761395855456,600889,5m,42.96.251.80,7709,第一创业,success,,5,0.747,2,24,Phase1
2025-10-25 20:37:35.470,600892_1m_1761395855470,600892,1m,221.131.139.228,7709,南京,success,,800,0.760,2,5,Phase1
2025-10-25 20:37:35.479,600877_5m_1761395855479,600877,5m,116.211.98.141,7709,长江,success,,5,0.870,2,16,Phase1
2025-10-25 20:37:35.488,600874_1d_1761395855488,600874,1d,182.118.47.185,7709,光大,success,,16,0.879,2,8,Phase1
2025-10-25 20:37:35.497,600882_1m_1761395855497,600882,1m,124.95.141.22,7709,首创,success,,800,0.888,2,28,Phase1
2025-10-25 20:37:35.506,600877_1d_1761395855506,600877,1d,124.95.141.7,7709,申万宏源,success,,16,0.897,2,15,Phase1
2025-10-25 20:37:35.576,600879_5m_1761395855576,600879,5m,58.63.254.237,7709,申万宏源,timeout,请求超时0.5s,0,0.967,2,19,Phase1
