时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-27 21:36:31.172,605378_1d_1761572191172,605378,1d,153.3.253.68,7709,南京,failed,返回数据为空,0,0.006,2,23,Phase1
2025-10-27 21:36:31.183,605488_1d_1761572191183,605488,1d,58.240.134.196,7709,南京,failed,返回数据为空,0,0.018,2,36,Phase1
2025-10-27 21:36:31.190,688011_1d_1761572191190,688011,1d,153.3.253.68,7709,南京,failed,返回数据为空,0,0.001,2,23,Phase1
2025-10-27 21:36:31.197,688012_1d_1761572191197,688012,1d,58.240.134.196,7709,南京,failed,返回数据为空,0,0.007,2,36,Phase1
2025-10-27 21:36:31.900,605338_1d_1761572191900,605338,1d,111.13.112.206,7709,中信,success,,6,0.735,2,1,Phase1
2025-10-27 21:36:32.158,688013_1m_1761572192158,688013,1m,153.3.253.68,7709,南京,failed,返回数据为空,0,0.948,2,23,Phase1
2025-10-27 21:36:32.159,605389_1d_1761572192159,605389,1d,[2409:8720:e00:5:2:0:0:13],7709,华泰,success,,6,0.993,2,29,Phase1
2025-10-27 21:36:32.162,605398_5m_1761572192162,605398,5m,120.195.71.155,7709,华泰,success,,2,0.996,2,32,Phase1
2025-10-27 21:36:32.164,605358_1d_1761572192164,605358,1d,109.244.14.55,7709,中泰,success,,6,0.998,2,7,Phase1
2025-10-27 21:36:32.166,605376_5m_1761572192166,605376,5m,120.199.2.122,7709,中信,success,,2,1.000,2,18,Phase1
2025-10-27 21:36:32.168,605338_1m_1761572192168,605338,1m,120.136.184.203,7709,东北,success,,800,1.002,2,4,Phase1
2025-10-27 21:36:32.171,605365_1d_1761572192171,605365,1d,114.28.171.32,7709,东北,success,,6,1.005,2,9,Phase1
2025-10-27 21:36:32.173,605399_5m_1761572192173,605399,5m,120.199.2.123,7709,中信,success,,2,1.007,2,35,Phase1
2025-10-27 21:36:32.176,605378_1m_1761572192176,605378,1m,112.28.135.22,7709,华安,success,,800,1.010,2,25,Phase1
2025-10-27 21:36:32.178,605339_1d_1761572192178,605339,1d,[2408:8721:0820:0106:0001:0C02:0A5C:11F4],7709,光大,success,,6,1.012,2,5,Phase1
2025-10-27 21:36:32.188,605368_1m_1761572192188,605368,1m,[2409:871e:8f01:2031:192:168:166:12],7709,东方,success,,800,1.022,2,15,Phase1
2025-10-27 21:36:32.198,605555_1d_1761572192198,605555,1d,125.46.62.162,7709,中原,success,,6,1.033,2,48,Phase1
2025-10-27 21:36:32.200,605365_5m_1761572192200,605365,5m,125.46.62.164,7709,中原,success,,2,1.035,2,10,Phase1
2025-10-27 21:36:32.202,605499_1d_1761572192202,605499,1d,114.28.169.14,7709,光大,success,,6,1.037,2,39,Phase1
2025-10-27 21:36:32.208,605598_1m_1761572192209,605598,1m,120.253.221.207,7709,中信,success,,800,1.042,2,69,Phase1
2025-10-27 21:36:32.229,688017_1d_1761572192229,688017,1d,58.240.134.196,7709,南京,failed,返回数据为空,0,1.010,2,36,Phase1
2025-10-27 21:36:32.250,605588_1d_1761572192250,605588,1d,114.28.173.135,7709,国泰,success,,6,1.084,2,61,Phase1
2025-10-27 21:36:32.254,688007_5m_1761572192254,688007,5m,1.192.125.4,7709,中原,success,,2,1.087,2,91,Phase1
2025-10-27 21:36:32.269,605399_1d_1761572192269,605399,1d,103.221.142.70,7709,国泰,success,,6,1.104,2,34,Phase1
2025-10-27 21:36:32.277,605388_5m_1761572192277,605388,5m,115.238.90.165,7709,杭州电信主站J4,success,,2,1.112,2,27,Phase1
2025-10-27 21:36:32.287,605577_1d_1761572192287,605577,1d,103.251.85.196,7709,中泰,success,,6,1.121,2,57,Phase1
2025-10-27 21:36:32.290,605500_1d_1761572192290,605500,1d,[2408:8706:0:e400:1:c10:a56:ae4],7709,光大,success,,6,1.124,2,42,Phase1
2025-10-27 21:36:32.293,605599_5m_1761572192293,605599,5m,222.173.21.68,7709,中泰,success,,2,1.126,2,71,Phase1
2025-10-27 21:36:32.304,605366_1m_1761572192304,605366,1m,125.46.62.169,7709,中原,success,,800,1.139,2,13,Phase1
2025-10-27 21:36:32.309,688006_5m_1761572192309,688006,5m,114.141.177.44,7709,中信,success,,2,1.143,2,88,Phase1
2025-10-27 21:36:32.322,605580_1d_1761572192322,605580,1d,103.251.85.58,7709,华西,success,,6,1.156,2,59,Phase1
2025-10-27 21:36:32.328,688008_1d_1761572192328,688008,1d,[2408:863c:e01:1:3:0:0:13],7709,华泰,success,,6,1.161,2,93,Phase1
2025-10-27 21:36:32.348,605377_1d_1761572192348,605377,1d,[2408:860c:0:c000:192:168:166:12],7709,东方,success,,6,1.182,2,20,Phase1
2025-10-27 21:36:32.356,605338_5m_1761572192356,605338,5m,125.46.62.163,7709,中原,success,,2,1.190,2,3,Phase1
2025-10-27 21:36:32.362,605566_5m_1761572192362,605566,5m,103.221.142.67,7709,国泰,success,,2,1.196,2,52,Phase1
2025-10-27 21:36:32.367,688004_1m_1761572192367,688004,1m,109.244.14.35,7709,中泰,success,,800,1.200,2,83,Phase1
2025-10-27 21:36:32.374,605389_1m_1761572192374,605389,1m,125.46.62.170,7709,中原,success,,800,1.208,2,30,Phase1
2025-10-27 21:36:32.380,605599_1d_1761572192380,605599,1d,[2400:8200:8002:1800:3da5:6af9:3860:49b6],7709,中泰,success,,6,1.214,2,70,Phase1
2025-10-27 21:36:32.386,605566_1m_1761572192386,605566,1m,[2408:8721:0820:0106:0001:0C06:0A5A:11E1],7709,国金,success,,800,1.221,2,53,Phase1
2025-10-27 21:36:32.395,605507_5m_1761572192395,605507,5m,61.183.150.145,7709,长江,success,,2,1.229,2,46,Phase1
2025-10-27 21:36:32.408,605588_1m_1761572192408,605588,1m,183.131.224.27,7709,中信,success,,800,1.242,2,63,Phase1
2025-10-27 21:36:32.417,605339_5m_1761572192417,605339,5m,[2408:872F:0020:0009:0001:0C02:0A5C:26F2],7709,光大,success,,2,1.251,2,6,Phase1
2025-10-27 21:36:32.438,688001_1d_1761572192438,688001,1d,183.201.253.75,7709,中信建投,success,,6,1.271,2,73,Phase1
2025-10-27 21:36:32.445,605567_5m_1761572192445,605567,5m,182.118.47.187,7709,国海,success,,2,1.279,2,55,Phase1
