时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-27 21:36:30.006,603948_5m_1761572190006,603948,5m,58.240.134.196,7709,南京,failed,返回数据为空,0,0.006,3,5,Phase1
2025-10-27 21:36:30.011,603999_1m_1761572190011,603999,1m,58.240.134.196,7709,南京,failed,返回数据为空,0,0.001,3,5,Phase1
2025-10-27 21:36:30.017,605001_1m_1761572190017,605001,1m,58.240.134.196,7709,南京,failed,返回数据为空,0,0.000,3,5,Phase1
2025-10-27 21:36:30.021,605003_5m_1761572190021,605003,5m,58.240.134.196,7709,南京,failed,返回数据为空,0,0.000,3,5,Phase1
2025-10-27 21:36:30.024,605005_1d_1761572190024,605005,1d,58.240.134.196,7709,南京,failed,返回数据为空,0,0.000,3,5,Phase1
2025-10-27 21:36:30.028,605005_1m_1761572190028,605005,1m,58.240.134.196,7709,南京,failed,返回数据为空,0,0.001,3,5,Phase1
2025-10-27 21:36:30.304,603939_5m_1761572190304,603939,5m,120.195.71.155,7709,华泰,success,,2,0.304,3,1,Phase1
2025-10-27 21:36:30.711,603948_1d_1761572190711,603948,1d,120.199.2.123,7709,中信,success,,6,0.710,3,4,Phase1
2025-10-27 21:36:30.728,603977_1d_1761572190728,603977,1d,103.251.85.209,7709,中信建投,success,,6,0.728,3,46,Phase1
2025-10-27 21:36:30.731,603959_1d_1761572190731,603959,1d,103.251.85.90,7709,国泰,success,,6,0.731,3,22,Phase1
2025-10-27 21:36:30.736,603986_5m_1761572190736,603986,5m,115.28.252.213,7709,光大,success,,2,0.736,3,68,Phase1
2025-10-27 21:36:30.952,605006_5m_1761572190952,605006,5m,58.240.134.196,7709,南京,failed,返回数据为空,0,0.912,3,5,Phase1
2025-10-27 21:36:30.963,603978_1m_1761572190963,603978,1m,109.244.14.35,7709,中泰,success,,800,0.963,3,51,Phase1
2025-10-27 21:36:30.968,603979_1d_1761572190968,603979,1d,101.230.126.29,7709,国投,success,,6,0.968,3,52,Phase1
2025-10-27 21:36:30.973,603939_1m_1761572190973,603939,1m,103.221.142.70,7709,国泰,success,,800,0.973,3,3,Phase1
2025-10-27 21:36:30.980,603976_1d_1761572190980,603976,1d,103.251.85.18,7709,国投,success,,6,0.980,3,43,Phase1
2025-10-27 21:36:30.987,603970_5m_1761572190987,603970,5m,183.201.253.75,7709,中信建投,success,,2,0.987,3,41,Phase1
2025-10-27 21:36:30.993,603990_1d_1761572190993,603990,1d,220.248.252.150,7709,华安,success,,6,0.993,3,79,Phase1
2025-10-27 21:36:30.999,603958_1m_1761572190999,603958,1m,[2408:8721:0820:0106:0001:0C06:0A5A:11E1],7709,国金,success,,800,0.999,3,21,Phase1
2025-10-27 21:36:31.011,603969_1d_1761572191011,603969,1d,120.253.221.207,7709,中信,success,,6,1.011,3,37,Phase1
2025-10-27 21:36:31.017,603985_1d_1761572191017,603985,1d,117.34.114.13,7709,国泰君安,success,,6,1.017,3,64,Phase1
2025-10-27 21:36:31.025,603949_5m_1761572191025,603949,5m,114.28.169.14,7709,光大,success,,2,1.024,3,8,Phase1
2025-10-27 21:36:31.030,603982_1m_1761572191030,603982,1m,[2408:863c:e01:1:3:0:0:13],7709,华泰,success,,800,1.029,3,60,Phase1
2025-10-27 21:36:31.037,603990_5m_1761572191037,603990,5m,125.46.62.166,7709,中原,success,,2,1.036,3,80,Phase1
2025-10-27 21:36:31.041,603989_1d_1761572191041,603989,1d,114.28.171.23,7709,华安,success,,6,1.041,3,76,Phase1
2025-10-27 21:36:31.052,603979_5m_1761572191052,603979,5m,[240e:e9:6001:3:2:1:0:13],7709,华泰,success,,2,1.052,3,53,Phase1
2025-10-27 21:36:31.057,603958_5m_1761572191057,603958,5m,103.221.142.67,7709,国泰,success,,2,1.057,3,20,Phase1
2025-10-27 21:36:31.068,603980_5m_1761572191068,603980,5m,114.141.177.44,7709,中信,success,,2,1.068,3,56,Phase1
2025-10-27 21:36:31.073,603989_5m_1761572191073,603989,5m,125.46.36.131,7709,中原,success,,2,1.073,3,77,Phase1
