时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-25 20:37:28.729,600136_5m_1761395848729,600136,5m,111.15.15.43,7709,中信,success,,5,0.052,6,12,Phase1
2025-10-25 20:37:28.922,600135_1m_1761395848922,600135,1m,115.28.252.213,7709,光大,success,,800,0.245,6,10,Phase1
2025-10-25 20:37:28.935,600148_1d_1761395848935,600148,1d,114.28.171.16,7709,光大,success,,16,0.258,6,26,Phase1
2025-10-25 20:37:28.943,600132_1d_1761395848943,600132,1d,114.28.171.3,7709,山西,success,,16,0.266,6,2,Phase1
2025-10-25 20:37:29.011,600136_1d_1761395849011,600136,1d,111.50.79.180,7709,南京,success,,16,0.334,6,11,Phase1
2025-10-25 20:37:29.025,600136_1m_1761395849025,600136,1m,103.221.142.65,7709,国泰,success,,800,0.348,6,13,Phase1
2025-10-25 20:37:29.037,600150_5m_1761395849037,600150,5m,103.251.85.176,7709,兴业,success,,5,0.360,6,32,Phase1
2025-10-25 20:37:29.042,600149_5m_1761395849042,600149,5m,117.184.126.164,7709,中银,success,,5,0.365,6,29,Phase1
2025-10-25 20:37:29.047,600133_1m_1761395849047,600133,1m,103.221.142.69,7709,国泰,success,,800,0.370,6,7,Phase1
2025-10-25 20:37:29.061,600137_1d_1761395849061,600137,1d,103.221.142.73,7709,国泰,success,,16,0.384,6,14,Phase1
2025-10-25 20:37:29.073,600152_1d_1761395849073,600152,1d,115.233.213.169,7709,财通,success,,16,0.395,6,37,Phase1
2025-10-25 20:37:29.083,600138_1m_1761395849083,600138,1m,1.192.125.3,7709,中原,success,,800,0.406,6,19,Phase1
2025-10-25 20:37:29.091,600151_1m_1761395849091,600151,1m,221.12.11.201,7709,财通,success,,800,0.414,6,36,Phase1
2025-10-25 20:37:29.098,600148_1m_1761395849098,600148,1m,120.136.184.203,7709,东北,success,,800,0.421,6,28,Phase1
