时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-25 20:37:26.694,600017_5m_1761395846694,600017,5m,122.112.132.185,7709,浙商,success,,5,0.308,4,34,Phase1
2025-10-25 20:37:26.698,600000_1d_1761395846698,600000,1d,182.118.47.183,7709,中信建投,success,,16,0.313,4,0,Phase1
2025-10-25 20:37:26.704,600000_5m_1761395846704,600000,5m,114.141.177.121,7709,国金,success,,5,0.319,4,2,Phase1
2025-10-25 20:37:26.710,600016_1d_1761395846710,600016,1d,114.141.177.78,7709,华林,success,,16,0.324,4,30,Phase1
2025-10-25 20:37:26.715,600009_1d_1761395846715,600009,1d,109.244.14.26,7709,中泰,success,,16,0.330,4,15,Phase1
2025-10-25 20:37:26.719,600000_1m_1761395846719,600000,1m,124.71.163.106,7709,华泰,success,,800,0.334,4,1,Phase1
2025-10-25 20:37:26.722,600017_1d_1761395846722,600017,1d,125.46.62.163,7709,中原,success,,16,0.336,4,33,Phase1
2025-10-25 20:37:26.726,600004_1m_1761395846726,600004,1m,119.97.164.184,7709,国泰,success,,800,0.341,4,5,Phase1
2025-10-25 20:37:26.730,600007_5m_1761395846730,600007,5m,114.28.171.23,7709,华安,success,,5,0.345,4,10,Phase1
2025-10-25 20:37:26.734,600016_1m_1761395846734,600016,1m,111.23.148.73,7709,方正,success,,800,0.348,4,32,Phase1
2025-10-25 20:37:26.736,600015_1m_1761395846737,600015,1m,125.46.36.130,7709,中原,success,,800,0.350,4,29,Phase1
2025-10-25 20:37:26.740,600010_1m_1761395846740,600010,1m,109.244.14.55,7709,中泰,success,,800,0.355,4,20,Phase1
2025-10-25 20:37:26.769,600011_5m_1761395846769,600011,5m,220.249.123.195,7709,长江,success,,5,0.383,4,22,Phase1
2025-10-25 20:37:26.787,600016_5m_1761395846787,600016,5m,120.237.21.11,7709,国投,success,,5,0.401,4,31,Phase1
2025-10-25 20:37:26.789,600008_1d_1761395846789,600008,1d,110.53.177.135,7709,方正,success,,16,0.404,4,12,Phase1
2025-10-25 20:37:26.792,600008_5m_1761395846792,600008,5m,121.43.74.140,7709,中原,success,,5,0.407,4,13,Phase1
2025-10-25 20:37:26.802,600009_5m_1761395846802,600009,5m,112.93.132.18,7709,国投,success,,5,0.417,4,16,Phase1
2025-10-25 20:37:26.805,600006_1m_1761395846805,600006,1m,52.130.89.221,7709,红塔,success,,800,0.420,4,8,Phase1
2025-10-25 20:37:26.815,600012_1d_1761395846815,600012,1d,202.108.254.67,7709,中信,success,,16,0.429,4,24,Phase1
2025-10-25 20:37:26.819,600010_1d_1761395846819,600010,1d,121.12.106.161,7709,信达,success,,16,0.434,4,18,Phase1
2025-10-25 20:37:26.822,600011_1d_1761395846822,600011,1d,116.239.25.226,7709,太平洋,success,,16,0.436,4,21,Phase1
2025-10-25 20:37:26.824,600012_1m_1761395846824,600012,1m,140.143.99.36,7709,红塔,success,,800,0.438,4,26,Phase1
2025-10-25 20:37:26.825,600019_1d_1761395846825,600019,1d,116.211.121.31,7709,国泰,success,,16,0.438,4,39,Phase1
2025-10-25 20:37:26.828,600018_1d_1761395846828,600018,1d,58.252.166.233,7709,华林,success,,16,0.442,4,36,Phase1
2025-10-25 20:37:26.830,600006_5m_1761395846830,600006,5m,109.244.73.85,7709,国泰,success,,5,0.445,4,7,Phase1
2025-10-25 20:37:26.832,600011_1m_1761395846832,600011,1m,119.147.80.98,7709,长江,success,,800,0.446,4,23,Phase1
2025-10-25 20:37:26.836,600015_1d_1761395846836,600015,1d,43.139.196.81,7709,光大,success,,16,0.450,4,27,Phase1
2025-10-25 20:37:26.839,600004_1d_1761395846839,600004,1d,120.79.210.76,7709,国信,success,,16,0.454,4,3,Phase1
2025-10-25 20:37:26.843,600015_5m_1761395846843,600015,5m,58.63.254.155,7709,中信建投,success,,5,0.457,4,28,Phase1
2025-10-25 20:37:26.846,600008_1m_1761395846847,600008,1m,148.70.111.63,7709,国泰,success,,800,0.461,4,14,Phase1
2025-10-25 20:37:26.850,600017_1m_1761395846850,600017,1m,101.226.11.208,7709,首创,success,,800,0.464,4,35,Phase1
2025-10-25 20:37:26.855,600004_5m_1761395846855,600004,5m,202.100.166.29,7709,光大,success,,5,0.470,4,4,Phase1
2025-10-25 20:37:26.873,600018_1m_1761395846873,600018,1m,123.125.108.73,7709,申万宏源,success,,800,0.487,4,38,Phase1
2025-10-25 20:37:26.882,600009_1m_1761395846882,600009,1m,58.250.179.12,7709,国投,success,,800,0.497,4,17,Phase1
2025-10-25 20:37:26.896,600012_5m_1761395846896,600012,5m,117.34.114.15,7709,国泰君安,success,,5,0.510,4,25,Phase1
2025-10-25 20:37:26.899,600006_1d_1761395846899,600006,1d,117.34.114.16,7709,国泰君安,success,,16,0.514,4,6,Phase1
2025-10-25 20:37:26.952,600010_5m_1761395846952,600010,5m,101.230.126.28,7709,国投,success,,5,0.567,4,19,Phase1
2025-10-25 20:37:26.979,600007_1m_1761395846979,600007,1m,123.125.108.42,7709,国盛,success,,800,0.594,4,11,Phase1
2025-10-25 20:37:27.079,600007_1d_1761395847079,600007,1d,58.63.252.136,7709,光大,timeout,请求超时0.5s,0,0.694,4,9,Phase1
2025-10-25 20:37:27.082,600018_5m_1761395847082,600018,5m,182.131.3.248,7709,山西,timeout,请求超时0.5s,0,0.696,4,37,Phase1
2025-10-25 20:37:27.106,600019_5m_1761395847106,600019,5m,122.112.132.185,7709,浙商,success,,5,0.278,4,34,Phase1
2025-10-25 20:37:27.108,600020_1d_1761395847108,600020,1d,114.141.177.121,7709,国金,success,,16,0.276,4,2,Phase1
2025-10-25 20:37:27.112,600021_1d_1761395847112,600021,1d,124.71.163.106,7709,华泰,success,,16,0.273,4,1,Phase1
2025-10-25 20:37:27.115,600021_5m_1761395847115,600021,5m,125.46.62.163,7709,中原,success,,5,0.276,4,33,Phase1
2025-10-25 20:37:27.119,600020_1m_1761395847119,600020,1m,109.244.14.26,7709,中泰,success,,800,0.280,4,15,Phase1
2025-10-25 20:37:27.129,600023_1d_1761395847129,600023,1d,109.244.14.55,7709,中泰,success,,16,0.277,4,20,Phase1
2025-10-25 20:37:27.162,600022_1d_1761395847162,600022,1d,114.28.171.23,7709,华安,success,,16,0.323,4,10,Phase1
2025-10-25 20:37:27.164,600020_5m_1761395847164,600020,5m,114.141.177.78,7709,华林,success,,5,0.325,4,30,Phase1
